recipe_name,ingredients,image_link,carbs,protein,fats,calories,serving_size
Mushroom Risotto,"200g Arborio rice, 100g Mushrooms, 30g Parmesan cheese, 10g Garlic, 20g Butter",https://cdn.loveandlemons.com/wp-content/uploads/2023/01/mushroom-risotto.jpg,50,12,15,400,360
Eggplant Parmesan,"200g Eggplant, 100g Marinara sauce, 50g Mozzarella cheese, 20g Parmesan cheese, 20g Olive oil",https://www.thekitcheneer.com/wp-content/uploads/2023/03/Eggplant_Parmesan-5.jpg,30,15,20,380,300
Chicken Alfredo,"150g Fettuccine pasta, 150g Chicken breast, 100g Alfredo sauce, 30g Parmesan cheese, 20g Butter",https://www.budgetbytes.com/wp-content/uploads/2022/07/Chicken-Alfredo-V3.jpg,45,28,18,500,350
Beef Stroganoff,"200g Beef, 100g Mushrooms, 50g Sour cream, 50g Onions, 100g Egg noodles",https://www.recipetineats.com/tachyon/2018/01/Beef-Stroganoff_2-1-1.jpg,40,25,22,450,370
Cauliflower Pizza,"200g Cauliflower, 100g Mozzarella cheese, 50g Marinara sauce, 50g Pepperoni, 10g Olive oil",https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2020/01/Cauliflower-Pizza-Crust-15.jpg,15,20,18,300,280
Lentil Soup,"200g Lentils, 100g Carrots, 50g Celery, 10g Garlic, 10g Olive oil",https://www.noracooks.com/wp-content/uploads/2018/11/square-1.jpg,30,15,8,250,300
Shrimp Scampi,"150g Shrimp, 10g Garlic, 20g Butter, 10g Lemon, 100g Linguine",https://static01.nyt.com/images/2022/06/02/dining/ShrimpScampi_thumb/ShrimpScampi_thumb-square640.jpg,40,20,15,400,290
Turkey Meatballs,"200g Ground turkey, 50g Breadcrumbs, 30g Parmesan cheese, 1 Egg, 100g Marinara sauce",https://www.culinaryhill.com/wp-content/uploads/2018/06/Turkey-Meatballs-Culinary-Hill-square.jpg,12,22,10,240,270
Stuffed Bell Peppers,"200g Bell peppers, 150g Ground beef, 100g Rice, 50g Tomato sauce, 30g Cheese",https://thecozycook.com/wp-content/uploads/2022/08/Stuffed-Bell-Peppers-1.jpg,35,25,15,400,350
Chicken Tikka Masala,"200g Chicken breast, 100g Tikka masala sauce, 50g Yogurt, 10g Garlic, 100g Basmati rice",https://i0.wp.com/www.nourishdeliciously.com/wp-content/uploads/2022/11/DSC_9207.jpg,45,30,18,500,350
Fish Tacos,"100g Fish fillets, 2 Tortillas, 50g Cabbage, 10g Lime, 20g Salsa",https://www.twopeasandtheirpod.com/wp-content/uploads/2023/03/Fish-Tacos-0938.jpg,20,18,10,250,200
Vegetable Curry,"100g Potatoes, 100g Carrots, 50g Peas, 50g Coconut milk, 10g Curry powder",https://www.recipetineats.com/uploads/2017/07/Vegetable-Curry.jpg,40,5,15,300,350
Grilled Chicken Wrap,"150g Chicken breast, 1 Tortilla, 50g Lettuce, 20g Tomato, 10g Ranch dressing",https://www.dalesseasoning.com/wp-content/uploads/chicken-wrap.jpg,30,25,12,320,250
Pasta Primavera,"150g Penne pasta, 50g Zucchini, 50g Bell peppers, 30g Parmesan cheese, 10g Olive oil",https://cdn.loveandlemons.com/wp-content/uploads/2022/06/pasta-primavera.jpg,50,10,10,350,280
Falafel Wrap,"100g Falafel, 1 Pita bread, 50g Lettuce, 30g Hummus, 10g Tahini",https://pickyeaterblog.com/wp-content/uploads/2022/11/healthy-falafel-wrap-recipe.jpg,35,12,15,280,220
Pancakes with Maple Syrup,"100g Flour, 2 Eggs, 200ml Milk, 30g Maple syrup",https://www.elkbakery.com/wp-content/uploads/2020/04/pancakes.jpg,45,10,15,350,250
Baked Chicken Wings,"200g Chicken wings, 20g BBQ sauce, 10g Olive oil",https://www.wholesomeyum.com/wp-content/uploads/2023/04/wholesomeyum-Baked-Chicken-Wings.jpg,10,28,22,400,280
Vegetarian Chili,"200g Kidney beans, 100g Bell peppers, 50g Onions, 100g Tomato sauce",https://s23209.pcdn.co/wp-content/uploads/2022/10/211129_DAMN-DELICIOUS_Vegetarian-Chili_279.jpg,45,15,8,320,350
Beef Burrito,"150g Ground beef, 1 Tortilla, 50g Rice, 30g Cheese, 20g Salsa",https://bitesinthewild.com/wp-content/uploads/2023/03/Shredded-beef-burrito-halved-and-stacked.jpg,50,28,18,500,400
Spinach and Feta Omelette,"3 Eggs, 50g Spinach, 30g Feta cheese",https://cheeseandsuch.com/wp-content/uploads/2021/03/spinach-feta-omelette-recipe-11-1024x683.jpg,5,18,12,250,200
